model_id,bbh_acc,math_acc,musr_acc,mmlu_pro_acc,bbh_sub_boolean_expressions,bbh_sub_causal_judgement,bbh_sub_date_understanding,bbh_sub_logical_deduction_five_objects,bbh_sub_logical_deduction_seven_objects,bbh_sub_logical_deduction_three_objects,bbh_sub_navigate,bbh_sub_object_counting,bbh_sub_penguins_in_a_table,bbh_sub_web_of_lies,score_variance,label
ZeroXClem/Llama-3.1-8B-SuperNova-EtherealHermes,0.5229994792570735,0.1744712990936555,0.4060846560846561,0.374501329787234,0.84,0.5935828877005348,0.5,0.428,0.4,0.608,0.58,0.496,0.4863013698630137,0.492,0.0169179000086523,1
Triangle104/Chatty-Harry_V3.0,0.5499045304634612,0.1125377643504531,0.4404761904761904,0.3701795212765957,0.824,0.6149732620320856,0.688,0.488,0.496,0.732,0.584,0.368,0.5616438356164384,0.488,0.0263120640055193,0
Epiculous/NovaSpark,0.5037319909737893,0.1518126888217522,0.3875661375661375,0.3648603723404255,0.824,0.6042780748663101,0.504,0.384,0.38,0.604,0.536,0.44,0.4863013698630137,0.484,0.0167189385119939,0
hotmailuser/Mistral-modelstock2-24B,0.6668981079673668,0.2401812688821752,0.4616402116402116,0.5318317819148937,0.884,0.6363636363636364,0.804,0.648,0.584,0.836,0.72,0.384,0.7397260273972602,0.52,0.025205167975974,0
Columbia-NLP/LION-LLaMA-3-8b-sft-v1.0,0.505294219753515,0.11404833836858,0.4497354497354497,0.323720079787234,0.748,0.6203208556149733,0.448,0.392,0.44,0.588,0.644,0.48,0.5273972602739726,0.488,0.0235980490072608,1
Triangle104/Q2.5-CodeR1-3B,0.4646762714806457,0.1638972809667673,0.4312169312169312,0.2978723404255319,0.848,0.5828877005347594,0.556,0.38,0.284,0.564,0.696,0.424,0.410958904109589,0.488,0.0144178077332935,1
TencentARC/MetaMath-Mistral-Pro,0.442110744662385,0.0762839879154078,0.3518518518518518,0.2471742021276596,0.812,0.5454545454545454,0.468,0.336,0.296,0.464,0.548,0.412,0.3013698630136986,0.492,0.0185249067083876,1
AicoresSecurity/Cybernet-Sec-3B-R1-V1,0.4263148758896025,0.1518126888217522,0.328042328042328,0.2876496010638298,0.776,0.6042780748663101,0.492,0.36,0.24,0.416,0.596,0.368,0.3082191780821918,0.488,0.0099930534539729,0
EpistemeAI2/Fireball-Alpaca-Llama3.1.08-8B-C-R1-KTO-Reflection,0.4934907134178094,0.1246223564954682,0.4047619047619047,0.3592918882978723,0.828,0.5668449197860963,0.44,0.44,0.436,0.632,0.52,0.472,0.5,0.488,0.0190216215299406,0
DreadPoor/Winter_Night-8B-Model_Stock,0.5170977260892207,0.1457703927492447,0.3902116402116402,0.3666057180851064,0.848,0.6256684491978609,0.468,0.432,0.448,0.596,0.652,0.388,0.5205479452054794,0.48,0.0183314046534804,0
